0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,class_0,class_1,class_2,class_3,class_4
-0.10336623,0.19431561,-0.061703324,-0.012213581,0.08486301,-0.3536832,0.10145469,0.44761294,-0.2638106,-0.073431015,-0.061638333,-0.22919558,0.007872511,0.09921371,0.11592725,-0.18646398,0.15068156,-0.16191868,-0.038160052,-0.5059204,0.09779434,-0.02922693,0.22556834,-0.10575719,-0.111603715,0.012627819,-0.18099299,-0.062180076,-0.15589398,0.1254821,0.29220912,0.043405276,0.123019345,-0.23144932,-0.11550455,0.31239766,-0.05126446,-0.05136281,-0.17841262,-0.4035781,0.07926337,-0.22035831,-0.1216883,0.0881505,0.11823511,-0.15240303,-0.12699214,-0.002880823,0.08109257,0.103503376,0.11210667,-0.20731768,-0.06736829,0.054519292,-0.112724684,0.034318212,0.035372447,-0.06515858,-0.17651443,0.03842986,0.10082526,-0.023559602,0.12699844,-0.064925656,-0.33440027,0.2875476,0.18192798,0.16085102,-0.38226882,0.23936254,-0.10971841,0.20216988,0.16164364,-0.054288004,0.3015025,0.08708415,0.036453336,-0.03047632,-0.16885042,0.030269295,-0.1494173,0.022699991,-0.20178613,0.24823818,-0.11795773,-0.0777196,0.03347496,0.16621192,0.3005676,0.11348009,0.3072358,0.06980498,0.064790316,0.03512725,0.30596387,0.17300723,0.19450782,-0.13948318,0.12347102,-0.06442766,1,0,0,0,0
-0.13625966,0.25312346,-0.07876536,-0.01959456,0.11552088,-0.4631922,0.13002689,0.5837623,-0.3365343,-0.09696922,-0.08002465,-0.2977293,0.0031721552,0.12964472,0.1500082,-0.24445383,0.20044576,-0.21530382,-0.05198398,-0.65557295,0.12617937,-0.04221113,0.29778507,-0.1353499,-0.15162295,0.013939613,-0.23528019,-0.07992032,-0.20252381,0.16543204,0.38416475,0.052244306,0.16152976,-0.30480498,-0.14972357,0.40523866,-0.06293481,-0.06502353,-0.23010257,-0.52443314,0.100515485,-0.28760388,-0.16237475,0.11427316,0.15421282,-0.19404338,-0.16730934,-0.004852957,0.105586536,0.13852939,0.14907016,-0.26947135,-0.08521311,0.07324244,-0.14549357,0.047534473,0.048825826,-0.08087946,-0.22747175,0.05036613,0.12567286,-0.031567033,0.16196111,-0.08747265,-0.4336631,0.3707227,0.23691235,0.20668721,-0.49495152,0.3146238,-0.14085795,0.2618702,0.21140744,-0.07030974,0.39118692,0.10412012,0.049887296,-0.04050908,-0.21752287,0.036890484,-0.19822425,0.0341965,-0.2614844,0.3223236,-0.15273754,-0.10386197,0.043852825,0.21864697,0.38776964,0.14652906,0.4019859,0.088535324,0.08693376,0.043529484,0.39515054,0.22441389,0.25926238,-0.17845884,0.1578994,-0.08378498,0,0,0,0,1
-0.12020825,0.22066641,-0.07505189,-0.016565137,0.099193186,-0.40610254,0.111477986,0.51660895,-0.29995525,-0.086526625,-0.069515854,-0.26036218,0.0041986546,0.117486544,0.1326748,-0.21524769,0.17803416,-0.18564487,-0.046826717,-0.58189404,0.1141717,-0.037683837,0.258508,-0.120679125,-0.12882891,0.011267422,-0.20843284,-0.072031215,-0.17834766,0.14375117,0.34040925,0.049653504,0.14556804,-0.26800522,-0.13378581,0.36084878,-0.05725376,-0.059143297,-0.20307039,-0.4624185,0.08850313,-0.25358006,-0.13972542,0.102175,0.13659258,-0.17141911,-0.14773315,-0.00422668,0.09237092,0.1206534,0.12925251,-0.24030805,-0.081996165,0.068130895,-0.13140842,0.04178955,0.0408172,-0.07511967,-0.20141807,0.04497065,0.11678915,-0.024792748,0.14765504,-0.07863663,-0.3854413,0.33123413,0.21370353,0.18279041,-0.44025406,0.2781715,-0.123483345,0.22918916,0.18460919,-0.0628308,0.34876755,0.09372927,0.042685363,-0.034910545,-0.19578868,0.032562643,-0.17125218,0.028118093,-0.23319419,0.28616935,-0.13333745,-0.090258375,0.036760747,0.19186766,0.34188017,0.13089374,0.35397148,0.07771973,0.07794876,0.04024968,0.35109556,0.19805963,0.22748995,-0.15767673,0.14117911,-0.072285816,1,0,0,0,0
-0.1311751,0.24085177,-0.074721664,-0.014488902,0.106126875,-0.44353426,0.12446645,0.55983794,-0.3246012,-0.0940672,-0.07276021,-0.2847262,0.003887482,0.124782845,0.14418373,-0.23488212,0.19134966,-0.2050161,-0.05282718,-0.63236356,0.12003363,-0.040727273,0.2866283,-0.13245188,-0.14594862,0.013327952,-0.22585028,-0.074878305,-0.19265373,0.15778504,0.3670381,0.047816865,0.15720013,-0.29114679,-0.1442826,0.39355153,-0.05847737,-0.06491825,-0.22335672,-0.50043607,0.0998386,-0.27842772,-0.15521377,0.110405765,0.15049568,-0.184489,-0.15934175,-0.0048516784,0.10040005,0.13209394,0.14233777,-0.260576,-0.08261894,0.074649855,-0.14562675,0.046684437,0.0453105,-0.080901116,-0.22060713,0.048149202,0.12463865,-0.03132396,0.15756692,-0.08573815,-0.41619915,0.3560592,0.22871123,0.2009479,-0.4755578,0.30126673,-0.13557804,0.25280648,0.20367429,-0.06859419,0.3746241,0.10191126,0.045300104,-0.038052376,-0.2107033,0.033700444,-0.19149233,0.031042082,-0.25399035,0.3092345,-0.14541811,-0.09707991,0.038181826,0.20787035,0.37126735,0.140063,0.38069358,0.0841154,0.07985314,0.040168542,0.37963063,0.21388769,0.24729982,-0.17361107,0.15160276,-0.07996209,0,1,0,0,0
-0.13858755,0.25632676,-0.07873923,-0.016298963,0.115041435,-0.46705303,0.13159738,0.5880697,-0.3418865,-0.098492645,-0.079001725,-0.30145124,0.0054525086,0.1342072,0.15071698,-0.24466081,0.20217156,-0.21544026,-0.056713905,-0.6644671,0.12719987,-0.03967068,0.3016578,-0.1366961,-0.15261127,0.016167743,-0.23778278,-0.08129686,-0.20469405,0.16887105,0.3894862,0.05162851,0.16757785,-0.30674425,-0.15267305,0.41528085,-0.062481266,-0.06958432,-0.23444827,-0.52610135,0.10628229,-0.2918796,-0.16534178,0.116001636,0.1570423,-0.19441076,-0.16791429,-0.004638319,0.10707915,0.13918051,0.14890325,-0.27530137,-0.08798712,0.077129535,-0.1512369,0.051408153,0.04952741,-0.082551755,-0.23016174,0.051610112,0.13327765,-0.03263884,0.16511828,-0.0892123,-0.43780854,0.3748288,0.24149008,0.21160577,-0.50012475,0.3180817,-0.14282654,0.26259914,0.21601357,-0.069085814,0.39449012,0.10678827,0.046981964,-0.04321991,-0.22271682,0.034990475,-0.19956672,0.030486805,-0.26659265,0.3257265,-0.15547986,-0.10453736,0.04193859,0.21756351,0.3904022,0.14934102,0.40264854,0.089678824,0.08542616,0.04338382,0.4002378,0.22763647,0.25971967,-0.18318264,0.16179495,-0.08431369,0,0,0,0,1
-0.1229619,0.22326788,-0.07171814,-0.01406534,0.103887774,-0.41268533,0.11554016,0.5229697,-0.30735835,-0.08629012,-0.072341904,-0.2690532,0.0042921132,0.12001584,0.13281408,-0.22013685,0.17988965,-0.18998957,-0.048567683,-0.59202456,0.11436454,-0.0375816,0.2659029,-0.121328905,-0.13077779,0.0127895055,-0.20998105,-0.07057731,-0.18467358,0.14797184,0.34387457,0.047230233,0.14753363,-0.2729064,-0.13482182,0.36413956,-0.055516493,-0.061599754,-0.20650382,-0.46922144,0.09094896,-0.25973445,-0.14508778,0.10613725,0.14137278,-0.17292064,-0.15205845,-0.003633861,0.09532043,0.12549733,0.13502705,-0.24238078,-0.078754425,0.066439465,-0.13530037,0.04118445,0.042597193,-0.07706921,-0.20622702,0.043762702,0.11823531,-0.026079442,0.14882036,-0.07988151,-0.3923194,0.33460173,0.21777578,0.1875709,-0.4480517,0.2861085,-0.12499269,0.2368815,0.18696466,-0.06262267,0.35003257,0.09620565,0.04611952,-0.036891133,-0.1929452,0.031860173,-0.17841816,0.025657231,-0.23809111,0.29061848,-0.13923447,-0.089958146,0.03648833,0.19286856,0.34596273,0.13017519,0.35961574,0.07920986,0.07920153,0.03835874,0.35445303,0.20392123,0.2320954,-0.1617339,0.14151537,-0.074098244,0,0,0,1,0
-0.12782559,0.2410732,-0.074900575,-0.013682148,0.11266789,-0.4415334,0.1229785,0.56185997,-0.32504335,-0.09381025,-0.075869,-0.2843353,0.0009079613,0.12797429,0.1440097,-0.23505002,0.19419564,-0.20136191,-0.052674316,-0.6280944,0.12125373,-0.04291659,0.28690857,-0.13230634,-0.14254873,0.010111045,-0.22983511,-0.076939665,-0.19470684,0.160208,0.36693573,0.04883248,0.15783805,-0.2954999,-0.14343078,0.39004934,-0.06213028,-0.06301176,-0.21683912,-0.49889934,0.096615955,-0.27728885,-0.15556377,0.11197623,0.14850686,-0.18644112,-0.15994231,-0.004586119,0.10047093,0.13335419,0.14418176,-0.26104668,-0.082212135,0.07124601,-0.1430395,0.046555568,0.048735898,-0.07818066,-0.22040914,0.048809867,0.12328291,-0.028633561,0.15523016,-0.08369437,-0.41749123,0.35707378,0.22894886,0.20032233,-0.47251225,0.30369452,-0.13846298,0.24971421,0.20360772,-0.06854998,0.3739051,0.0977163,0.043755963,-0.038150232,-0.20663863,0.03084302,-0.18940684,0.027315693,-0.25182903,0.3105712,-0.1470089,-0.096722454,0.038974527,0.2061668,0.37230837,0.14018264,0.38480562,0.08371344,0.08457362,0.038900223,0.3826018,0.21707763,0.24657029,-0.16981934,0.14851896,-0.07962528,0,0,0,0,1
-0.119318806,0.2191007,-0.069635056,-0.01405502,0.100210175,-0.40023926,0.11358567,0.5076756,-0.2952719,-0.08443825,-0.06741464,-0.25959256,0.0049532386,0.11168152,0.13032714,-0.21038286,0.17606285,-0.18635194,-0.045879073,-0.5705874,0.10900158,-0.037271302,0.26079872,-0.11695107,-0.13169765,0.01200326,-0.2033669,-0.06891879,-0.17724732,0.14183483,0.33306116,0.045585196,0.144365,-0.264913,-0.12932104,0.35298973,-0.053239416,-0.05810091,-0.20194432,-0.45284986,0.088262804,-0.25172243,-0.14147358,0.10067696,0.13249846,-0.16869839,-0.14530085,-0.0033513007,0.09025347,0.12004191,0.12870304,-0.23515679,-0.076181784,0.06314195,-0.12997861,0.041652676,0.040068656,-0.07171855,-0.20033666,0.041929234,0.11167209,-0.029525863,0.14165542,-0.07509454,-0.37907487,0.32246128,0.20753156,0.18062004,-0.43207222,0.27479133,-0.124291345,0.22874868,0.18470408,-0.061404962,0.3393858,0.09352039,0.04377004,-0.034744374,-0.18840155,0.032109607,-0.17250188,0.028154885,-0.22812162,0.28051272,-0.13060185,-0.08807641,0.035042163,0.18933234,0.33575353,0.12624918,0.3476788,0.07610727,0.07599317,0.038431697,0.3449738,0.19450152,0.22678854,-0.15487294,0.13690375,-0.073309965,0,0,0,0,1
-0.12100618,0.21872595,-0.06869429,-0.015218779,0.09839399,-0.4001583,0.11061883,0.5081609,-0.29211584,-0.083339386,-0.06952579,-0.25658482,0.0036026053,0.11174243,0.13201083,-0.21158992,0.17317086,-0.18647832,-0.045616277,-0.5678039,0.10759536,-0.03792841,0.25997582,-0.115431935,-0.13217203,0.011335219,-0.2029046,-0.06730397,-0.17580763,0.14276475,0.3332826,0.044379212,0.1419557,-0.26272133,-0.12728548,0.3521295,-0.05331066,-0.05789307,-0.19999768,-0.4543215,0.088381514,-0.25027397,-0.1428482,0.09909504,0.13363826,-0.16922429,-0.14460246,-0.005343611,0.090759106,0.120424114,0.12649623,-0.2328847,-0.07614091,0.06478687,-0.1272086,0.042136423,0.041172083,-0.07104086,-0.1978748,0.041617062,0.111210465,-0.026685778,0.14049467,-0.077536225,-0.3772831,0.32097122,0.20561236,0.18082158,-0.42893606,0.27143034,-0.12170499,0.22773927,0.18238021,-0.05918696,0.3374371,0.09246164,0.04330698,-0.0350349,-0.18947956,0.031469997,-0.17274775,0.026404928,-0.22623843,0.27903107,-0.13318732,-0.08873328,0.033994436,0.18978055,0.33595738,0.12536016,0.345559,0.074655466,0.07503034,0.038513582,0.3423979,0.19383614,0.22567648,-0.15440989,0.13634624,-0.070632495,0,1,0,0,0
-0.12197513,0.21938701,-0.06946227,-0.013329709,0.09937504,-0.40270406,0.11257861,0.5083422,-0.29767892,-0.08251447,-0.06696408,-0.25845182,0.0067016003,0.11573672,0.13142557,-0.21177424,0.17242672,-0.18287355,-0.0497521,-0.57316864,0.10985937,-0.037745465,0.2593903,-0.1224691,-0.12737764,0.012398308,-0.20461226,-0.06761386,-0.1794653,0.14241229,0.33664155,0.045449488,0.14428042,-0.26375633,-0.13474905,0.35457754,-0.05617216,-0.060118437,-0.20232044,-0.4562706,0.0873524,-0.24890026,-0.14046341,0.10041139,0.13526139,-0.16915901,-0.1455124,-0.0014234314,0.08849888,0.12039225,0.12853266,-0.23613992,-0.07867214,0.0649338,-0.12995508,0.039836075,0.03986057,-0.073040165,-0.2011006,0.042573635,0.11279199,-0.027224887,0.14548852,-0.07268994,-0.38292134,0.3258121,0.21101962,0.18409134,-0.43578824,0.27707013,-0.12341807,0.2303104,0.18431883,-0.06040248,0.3377694,0.0938034,0.044813715,-0.038589727,-0.1925527,0.02968816,-0.17017308,0.024743604,-0.23081079,0.28326625,-0.13446039,-0.090688914,0.03720814,0.18396488,0.3372265,0.12807322,0.34939086,0.077243716,0.07723198,0.038389638,0.3486922,0.19836612,0.22466058,-0.15368794,0.14046206,-0.07622404,0,0,0,1,0
